#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
585	ENST00000632280.1_2	chr19	+	68402	69178	68402	68402	1	68402,	69178,	0	ENSG00000282542	none	none	-1,
585	ENST00000631744.1_2	chr19	+	69166	69972	69166	69166	1	69166,	69972,	0	ENSG00000282798	none	none	-1,
585	ENST00000633603.1_2	chr19	+	71777	72718	71777	71777	2	71777,72584,	72274,72718,	0	ENSG00000282807	none	none	-1,-1,
585	ENST00000631376.1_4	chr19	-	76162	77686	76162	76162	3	76162,76885,77329,	76783,77090,77686,	0	FAM138F	none	none	-1,-1,-1,
585	ENST00000641173.1_2	chr19	+	99174	106077	99174	99174	3	99174,100275,104501,	99229,100432,106077,	0	ENSG00000290363	none	none	-1,-1,-1,
585	ENST00000585993.3_7	chr19	+	107103	113156	110678	111596	3	107103,107472,110624,	107157,107555,113156,	0	OR4F17	cmpl	cmpl	-1,-1,0,
585	ENST00000618231.3_8	chr19	+	107103	113156	107148	111596	2	107103,110624,	107157,113156,	0	OR4F17	cmpl	cmpl	0,0,
585	ENST00000318050.4_5	chr19	+	110642	111696	110678	111596	1	110642,	111696,	0	OR4F17	cmpl	cmpl	0,
586	ENST00000633154.1_2	chr19	+	176895	177913	176895	176895	1	176895,	177913,	0	ENSG00000282535	none	none	-1,
586	ENST00000632397.1_4	chr19	-	186372	191429	186372	186372	2	186372,191185,	186498,191429,	0	ENSG00000290384	none	none	-1,-1,
586	ENST00000587432.5_3	chr19	-	191211	195696	191211	191211	2	191211,195503,	191354,195696,	0	ENSG00000290384	none	none	-1,-1,
586	ENST00000632790.1_3	chr19	-	198263	200507	198263	198263	2	198263,200390,	198595,200507,	0	LINC01002	none	none	-1,-1,
586	ENST00000633808.1_3	chr19	-	199375	201002	199375	199375	2	199375,200390,	199611,201002,	0	LINC01002	none	none	-1,-1,
586	ENST00000632102.1_3	chr19	-	199834	200736	199834	199834	2	199834,200390,	200049,200736,	0	LINC01002	none	none	-1,-1,
586	ENST00000631858.1_3	chr19	-	200111	202192	200111	200111	3	200111,201755,202040,	201662,201813,202192,	0	LINC01002	none	none	-1,-1,-1,
586	ENST00000633402.1_3	chr19	-	201196	203987	201196	201196	3	201196,201755,203946,	201662,201813,203987,	0	LINC01002	none	none	-1,-1,-1,
586	ENST00000632747.1_3	chr19	-	201251	205606	201251	201251	3	201251,205169,205454,	201662,205227,205606,	0	LINC01002	none	none	-1,-1,-1,
